ID,Category,Nr,V/H,Description,Valence,Valence_SD,AvAp,AvAp_SD,Arousal,Arousal_SD,Width,Height,Luminance,Contrast,JPEG_size80,LABL,LABA,LABB,Entropy,Category_Valence,Category_Arousal,Neutral,Negative,Positive,
Faces_227_v,Faces,227,v,Woman Smiling,7.2549,1.412,6.75,1.467,4.2115,1.6959,1200,1600,102.9395,57.528,236259,45.6607,7.6045,13.4944,7.7244,Positive,Relaxed,0,0,1,
People_179_h,People,179,h,Kayakers,7.2549,1.4946,7.2157,1.5008,3.8,2.3387,1600,1200,64.799,54.4883,476534,26.7649,3.6349,-10.0557,7.0878,Positive,Relaxed,0,0,1,
Faces_232_h,Faces,232,h,Women Smiling,7.2561,1.3772,6.5122,1.381,4.9756,1.7496,1600,1200,111.163,66.3695,286051,46.5444,6.7833,-7.2409,7.8596,Positive,Neutral,0,0,0,
Faces_228_h,Faces,228,h,Elderly Woman,7.2647,1.3562,6.6176,1.1848,3.6324,1.9768,1600,1200,94.9618,64.1677,205762,39.5953,4.1599,7.39,7.6968,Positive,Relaxed,0,0,1,
Faces_131_v,Faces,131,v,Boy Smiling,7.2727,1.1575,6.7761,1.2771,4.0149,1.7794,1200,1600,153.5364,68.1934,172459,62.6475,5.6798,4.1584,6.8813,Positive,Relaxed,0,0,1,
Landscapes_162_h,Landscapes,162,h,Desert,7.2745,1.2342,7.3208,1.2212,3.5192,2.4374,1600,1200,118.9563,104.5834,167462,46.9045,0.2893,-1.3132,6.506,Positive,Relaxed,0,0,1,
Landscapes_148_h,Landscapes,148,h,Water,7.28,1.3099,6.96,1.5903,3.08,1.7939,1600,1200,75.0316,55.8091,547523,31.6986,-15.0506,11.511,7.5686,Positive,Relaxed,0,0,1,
Faces_340_h,Faces,340,h,Woman Showering,7.2879,1.3447,7.4091,1.3241,4.971,2.3387,1600,1200,95.3493,69.1196,336844,40.176,-3.7261,3.4147,7.6125,Positive,Neutral,0,0,0,
Landscapes_171_v,Landscapes,171,v,Leaves,7.2941,1.4601,7.1765,1.3814,3.6,2.0996,1200,1600,79.2957,67.8242,221525,41.1979,37.5347,34.0552,7.2926,Positive,Relaxed,0,0,1,
Animals_157_h,Animals,157,h,Fish,7.2941,1.3608,7.5882,1.3293,3.2549,2.2965,1600,1200,83.2402,59.6197,192928,35.5243,6.0082,-4.6538,7.6268,Positive,Relaxed,0,0,1,
People_193_h,People,193,h,Kite Surfer,7.2958,1.3027,7.2958,1.2581,6,2.289,1600,1200,204.9317,35.7292,370168,82.4599,-5.4277,-6.0132,6.8384,Positive,Aroused,0,0,0,
Faces_345_h,Faces,345,h,Men Smiling,7.3,1.1294,6.7059,1.2537,4.22,1.6449,1600,1200,76.6961,64.5076,317017,31.8355,3.4343,7.0365,7.5723,Positive,Relaxed,0,0,1,
Landscapes_133_h,Landscapes,133,h,Flowers,7.3,1.5152,7.0588,1.5545,3.5882,1.8674,1600,1200,93.603,68.9081,630047,40.5872,14.7961,15.8756,7.7106,Positive,Relaxed,0,0,1,
People_183_h,People,183,h,Parachutist,7.3061,1.2943,7.2041,1.2744,5.5306,2.4841,1600,1200,168.3227,58.3133,241017,68.4257,-4.3731,-1.9025,7.4314,Positive,Aroused,0,0,0,
Landscapes_088_v,Landscapes,88,v,Windows,7.3061,1.3417,7.102,1.403,3.9796,2.1936,1200,1600,112.7018,67.242,400815,48.1933,11.4847,42.3201,7.6398,Positive,Relaxed,0,0,1,
People_191_h,People,191,h,Hill,7.3125,1.0946,7.0833,1.182,4.8542,2.4144,1600,1200,127.6302,71.9406,354218,52.491,2.9916,7.7717,7.852,Positive,Neutral,0,0,0,
Landscapes_131_h,Landscapes,131,h,Field,7.3191,1.5195,7.2917,1.4869,2.5319,1.7049,1600,1200,141.6789,55.6972,330526,58.6159,-1.8477,-15.0182,7.7043,Positive,Relaxed,0,0,1,
People_112_h,People,112,h,Cabins,7.3208,1.4646,7.4717,1.3388,3.1321,2.0385,1600,1200,143.6099,74.7262,215224,58.2862,-2.7273,-5.5748,7.8947,Positive,Relaxed,0,0,1,
Landscapes_164_h,Landscapes,164,h,Garden,7.3265,1.2811,7.1837,1.3795,3.102,1.7229,1600,1200,104.1513,68.8764,544170,43.0662,-10.1786,15.6041,7.6341,Positive,Relaxed,0,0,1,
Faces_082_v,Faces,82,v,Child Playing,7.3269,1.2943,6.6731,1.4242,4.5,2.034,1200,1600,81.0993,58.0447,223099,34.8672,3.5528,7.7969,7.4341,Positive,Relaxed,0,0,1,
Landscapes_125_h,Landscapes,125,h,Flower,7.3373,1.364,7.2471,1.2238,3.5882,1.9898,1600,1200,72.6983,72.4381,181376,30.2196,1.645,18.2968,7.4074,Positive,Relaxed,0,0,1,
People_050_v,People,50,v,Mother And Child,7.34,1.2875,6.52,1.5418,3.78,1.7761,1200,1600,155.8225,69.2951,211400,63.3408,1.0971,6.2432,7.8075,Positive,Relaxed,0,0,1,
Faces_321_h,Faces,321,h,Football Players,7.3404,1.3396,6.8298,1.3075,6.2128,1.641,1600,1200,125.6007,65.0583,388167,52.2528,-4.3725,16.496,7.7727,Positive,Aroused,0,0,0,
Faces_252_h,Faces,252,h,Woman Smiling,7.3478,1.2511,7.0851,1.1578,4.5435,1.7976,1600,1200,107.8156,68.4753,382639,45.8009,9.8262,16.1008,7.806,Positive,Relaxed,0,0,1,
Faces_106_h,Faces,106,h,Man And A Girl Smiling,7.3529,1.1458,6.8627,1.2003,4.2549,1.9271,1600,1200,119.1623,63.857,267108,49.3701,2.1288,5.2854,7.6689,Positive,Relaxed,0,0,1,
Faces_135_h,Faces,135,h,Boy Smiling,7.3542,1.3913,6.7143,1.5411,4.8367,1.9509,1600,1200,87.9547,72.6909,417910,36.7193,7.1379,14.0172,7.6368,Positive,Neutral,0,0,0,
Objects_101_h,Objects,101,h,Cake,7.3673,1.5233,7.2449,1.5617,4.5106,1.9657,1600,1200,92.3324,56.8803,277596,38.9747,6.1433,-6.2118,7.5891,Positive,Relaxed,0,0,1,
